Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.9712e-02,0.0517094
2.9744e-02,0.0500375
2.9776e-02,0.0479875
2.9808e-02,0.0464594
2.9840e-02,0.044025
2.9872e-02,0.04165
2.9904e-02,0.0406094
2.9936e-02,0.0398375
2.9968e-02,0.038975
3.0000e-02,0.0386281
3.0032e-02,0.0382375
3.0064e-02,0.0379625
3.0096e-02,0.0367844
3.0128e-02,0.0361875
3.0160e-02,0.035075
3.0192e-02,0.0350719
3.0224e-02,0.0346281
3.0256e-02,0.0344469
3.0288e-02,0.0349906
3.0320e-02,0.0356469
3.0352e-02,0.0357781
3.0384e-02,0.0352812
3.0416e-02,0.0358594
3.0448e-02,0.0361687
3.0480e-02,0.0365281
3.0512e-02,0.0352594
3.0544e-02,0.0355031
3.0576e-02,0.0352844
3.0608e-02,0.0348437
3.0640e-02,0.0343812
3.0672e-02,0.0349125
3.0704e-02,0.0351062
3.0736e-02,0.0363937
3.0768e-02,0.0356312
3.0800e-02,0.0350312
3.0832e-02,0.033825
3.0864e-02,0.0335562
3.0896e-02,0.03345
3.0928e-02,0.0327406
3.0960e-02,0.0324562
3.0992e-02,0.0323969
3.1024e-02,0.0315937
3.1056e-02,0.0320312
3.1088e-02,0.033275
3.1120e-02,0.0333656
3.1152e-02,0.0336969
3.1184e-02,0.0345312
3.1216e-02,0.0347406
3.1248e-02,0.0343187
3.1280e-02,0.0338625
3.1312e-02,0.0336937
3.1344e-02,0.0341094
3.1376e-02,0.0333437
3.1408e-02,0.0323625
3.1440e-02,0.0321375
3.1472e-02,0.03185
3.1504e-02,0.0316187
3.1536e-02,0.0309812
3.1568e-02,0.0315187
3.1600e-02,0.0315875
3.1632e-02,0.031675
3.1664e-02,0.0315937
3.1696e-02,0.0323219
3.1728e-02,0.0326906
3.1760e-02,0.0327812
3.1792e-02,0.0322031
3.1824e-02,0.0312125
3.1856e-02,0.0309562
3.1888e-02,0.0305094
3.1920e-02,0.0310031
3.1952e-02,0.0309969
3.1984e-02,0.0318406
3.2016e-02,0.0326406
3.2048e-02,0.0327656
3.2080e-02,0.0328156
3.2112e-02,0.0329469
3.2144e-02,0.03305
3.2176e-02,0.0333562
3.2208e-02,0.0329687
3.2240e-02,0.0329969
3.2272e-02,0.03275
3.2304e-02,0.0322062
3.2336e-02,0.0323281
3.2368e-02,0.0323781
3.2400e-02,0.0327844
3.2432e-02,0.0333187
3.2464e-02,0.0334875
3.2496e-02,0.0328937
3.2528e-02,0.0335781
3.2560e-02,0.0335937
3.2592e-02,0.0325719
3.2624e-02,0.0324969
3.2656e-02,0.0325156
3.2688e-02,0.0319125
3.2720e-02,0.0313344
3.2752e-02,0.0316437
3.2784e-02,0.0314719
3.2816e-02,0.0318562
3.2848e-02,0.0329031
3.2880e-02,0.0333031
3.2912e-02,0.0334812
3.2944e-02,0.0338406
3.2976e-02,0.0342969
3.3008e-02,0.033375
3.3040e-02,0.0321812
3.3072e-02,0.0322906
3.3104e-02,0.0327062
3.3136e-02,0.0321219
3.3168e-02,0.0322812
3.3200e-02,0.0322344
3.3232e-02,0.0325687
3.3264e-02,0.0327187
3.3296e-02,0.0324969
3.3328e-02,0.0317844
3.3360e-02,0.0319844
3.3392e-02,0.0325219
3.3424e-02,0.0319156
3.3456e-02,0.0320531
3.3488e-02,0.0325031
3.3520e-02,0.0314094
3.3552e-02,0.0306156
3.3584e-02,0.0317219
3.3616e-02,0.0319062
3.3648e-02,0.0317531
3.3680e-02,0.0312062
3.3712e-02,0.0303219
3.3744e-02,0.0294219
3.3776e-02,0.0289594
3.3808e-02,0.0293187
3.3840e-02,0.0290031
3.3872e-02,0.0292312
3.3904e-02,0.0288656
3.3936e-02,0.0292156
3.3968e-02,0.0298625
3.4000e-02,0.0297812
3.4032e-02,0.0295344
3.4064e-02,0.0285875
3.4096e-02,0.0282031
3.4128e-02,0.0282344
3.4160e-02,0.0282656
3.4192e-02,0.0283156
3.4224e-02,0.0279969
3.4256e-02,0.0286562
3.4288e-02,0.0283969
3.4320e-02,0.0281406
3.4352e-02,0.0290969
3.4384e-02,0.0292719
3.4416e-02,0.0292531
3.4448e-02,0.0285312
3.4480e-02,0.0289094
3.4512e-02,0.0285094
3.4544e-02,0.0288562
3.4576e-02,0.0295937
3.4608e-02,0.0293281
