Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.3728e-02,0.0650094
2.3760e-02,0.0659531
2.3792e-02,0.063975
2.3824e-02,0.0617281
2.3856e-02,0.0614187
2.3888e-02,0.0633719
2.3920e-02,0.0646875
2.3952e-02,0.0656312
2.3984e-02,0.0665687
2.4016e-02,0.0664375
2.4048e-02,0.0658625
2.4080e-02,0.0666312
2.4112e-02,0.0688625
2.4144e-02,0.0688312
2.4176e-02,0.0676437
2.4208e-02,0.0672031
2.4240e-02,0.0661656
2.4272e-02,0.0645187
2.4304e-02,0.0636906
2.4336e-02,0.06275
2.4368e-02,0.0608937
2.4400e-02,0.06065
2.4432e-02,0.0601437
2.4464e-02,0.0584219
2.4496e-02,0.0567594
2.4528e-02,0.0548844
2.4560e-02,0.0535094
2.4592e-02,0.0514344
2.4624e-02,0.05035
2.4656e-02,0.0491406
2.4688e-02,0.0474719
2.4720e-02,0.0465719
2.4752e-02,0.0447312
2.4784e-02,0.0441719
2.4816e-02,0.0433406
2.4848e-02,0.0426062
2.4880e-02,0.0417969
2.4912e-02,0.0404281
2.4944e-02,0.0391687
2.4976e-02,0.0391719
2.5008e-02,0.0382344
2.5040e-02,0.0392156
2.5072e-02,0.0391937
2.5104e-02,0.0389562
2.5136e-02,0.0386094
2.5168e-02,0.0385969
2.5200e-02,0.0377656
2.5232e-02,0.0372812
2.5264e-02,0.0391031
2.5296e-02,0.0386344
2.5328e-02,0.0390062
2.5360e-02,0.0395156
2.5392e-02,0.0385344
2.5424e-02,0.0382562
2.5456e-02,0.0374375
2.5488e-02,0.0368937
2.5520e-02,0.0352937
2.5552e-02,0.0349094
2.5584e-02,0.0365906
2.5616e-02,0.0371937
2.5648e-02,0.0364031
2.5680e-02,0.0364937
2.5712e-02,0.0364937
2.5744e-02,0.0376844
2.5776e-02,0.0370219
2.5808e-02,0.0362062
2.5840e-02,0.0358781
2.5872e-02,0.0363875
2.5904e-02,0.0352156
2.5936e-02,0.0347875
2.5968e-02,0.0355062
2.6000e-02,0.0352906
2.6032e-02,0.0341531
2.6064e-02,0.0332875
2.6096e-02,0.0341437
2.6128e-02,0.0339562
2.6160e-02,0.0337312
2.6192e-02,0.0336531
2.6224e-02,0.0345312
2.6256e-02,0.0354344
2.6288e-02,0.0366656
2.6320e-02,0.037475
2.6352e-02,0.038775
2.6384e-02,0.0387031
2.6416e-02,0.0380906
2.6448e-02,0.0375062
2.6480e-02,0.0378594
2.6512e-02,0.0368844
2.6544e-02,0.0374187
2.6576e-02,0.0377281
2.6608e-02,0.0377812
2.6640e-02,0.0379469
2.6672e-02,0.0385562
2.6704e-02,0.0389906
2.6736e-02,0.040425
2.6768e-02,0.0405
2.6800e-02,0.0419531
2.6832e-02,0.0438281
2.6864e-02,0.0448625
2.6896e-02,0.0442812
2.6928e-02,0.0447094
2.6960e-02,0.045675
2.6992e-02,0.0477875
2.7024e-02,0.0513219
2.7056e-02,0.0529125
2.7088e-02,0.0555656
2.7120e-02,0.0558844
2.7152e-02,0.0556625
2.7184e-02,0.0546281
2.7216e-02,0.0547219
2.7248e-02,0.0565125
2.7280e-02,0.0582219
2.7312e-02,0.060875
2.7344e-02,0.0624281
2.7376e-02,0.062075
2.7408e-02,0.0634719
2.7440e-02,0.0652375
2.7472e-02,0.0675531
2.7504e-02,0.0672125
2.7536e-02,0.0680594
2.7568e-02,0.0677312
2.7600e-02,0.0688906
2.7632e-02,0.0687594
2.7664e-02,0.0677719
2.7696e-02,0.0680812
2.7728e-02,0.06635
2.7760e-02,0.0648687
2.7792e-02,0.0635406
2.7824e-02,0.0620219
2.7856e-02,0.0589219
2.7888e-02,0.05925
2.7920e-02,0.0576281
2.7952e-02,0.0546406
2.7984e-02,0.0516969
2.8016e-02,0.0492406
2.8048e-02,0.0465219
2.8080e-02,0.0446219
2.8112e-02,0.0435406
2.8144e-02,0.0421344
2.8176e-02,0.0406156
2.8208e-02,0.0398125
2.8240e-02,0.0392
2.8272e-02,0.0380625
2.8304e-02,0.0371156
2.8336e-02,0.0367125
2.8368e-02,0.0355062
2.8400e-02,0.0353625
2.8432e-02,0.0353062
2.8464e-02,0.0346562
2.8496e-02,0.0347594
2.8528e-02,0.0341281
2.8560e-02,0.0338062
2.8592e-02,0.0330531
2.8624e-02,0.0329969
2.8656e-02,0.0335969
2.8688e-02,0.0333156
2.8720e-02,0.0331687
2.8752e-02,0.0323687
2.8784e-02,0.0326
2.8816e-02,0.0327031
2.8848e-02,0.0322437
2.8880e-02,0.0321094
2.8912e-02,0.0319031
