Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3923,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.002,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8449e+01,-0.003,0.00068
-1.8441e+01,-0.003,-0.00636
-1.8433e+01,-0.00244,0.00172
-1.8425e+01,-0.00284,-0.00788
-1.8418e+01,-0.00308,0.00188
-1.8410e+01,-0.003,-0.0074
-1.8402e+01,-0.00292,0.0018
-1.8395e+01,-0.00284,-0.00732
-1.8387e+01,-0.00308,0.00172
-1.8379e+01,-0.00348,-0.00676
-1.8372e+01,-0.00284,0.00268
-1.8364e+01,-0.00316,-0.00924
-1.8356e+01,-0.00308,0.001
-1.8349e+01,-0.0026,-0.00748
-1.8341e+01,-0.00284,0.00012
-1.8333e+01,-0.00276,-0.00572
-1.8326e+01,-0.00324,0.00236
-1.8318e+01,-0.00308,-0.00844
-1.8310e+01,-0.00252,0.00124
-1.8303e+01,-0.00244,-0.00676
-1.8295e+01,-0.00276,0.00268
-1.8287e+01,-0.00268,-0.00892
-1.8280e+01,-0.00244,0.0026
-1.8272e+01,-0.00268,-0.00756
-1.8264e+01,-0.0022,-0.00044
-1.8257e+01,-0.00268,-0.00476
-1.8249e+01,-0.00212,0.00188
-1.8241e+01,-0.00268,-0.00692
-1.8233e+01,-0.00228,-4e-05
-1.8226e+01,-0.00236,-0.005
-1.8218e+01,-0.00292,0.00268
-1.8210e+01,-0.00244,-0.0078
-1.8203e+01,-0.0026,0.00252
-1.8195e+01,-0.00252,-0.00756
-1.8187e+01,-0.00212,0.00244
-1.8180e+01,-0.00244,-0.00724
-1.8172e+01,-0.00236,4e-05
-1.8164e+01,-0.00196,-0.00492
-1.8157e+01,-0.00244,0.0026
-1.8149e+01,-0.0022,-0.00652
-1.8141e+01,-0.00188,0.001
-1.8134e+01,-0.0022,-0.0054
-1.8126e+01,-0.00196,0.0018
-1.8118e+01,-0.00212,-0.00588
-1.8111e+01,-0.00228,0.00268
-1.8103e+01,-0.0022,-0.00684
-1.8095e+01,-0.00228,0.00268
-1.8088e+01,-0.0022,-0.00724
-1.8080e+01,-0.00228,0.00116
-1.8072e+01,-0.00204,-0.00524
-1.8065e+01,-0.0018,0.00268
-1.8057e+01,-0.00244,-0.00764
-1.8049e+01,-0.00228,0.0022
-1.8041e+01,-0.00228,-0.00732
-1.8034e+01,-0.00252,0.00212
-1.8026e+01,-0.00236,-0.0066
-1.8018e+01,-0.00196,0.0022
-1.8011e+01,-0.00236,-0.00756
-1.8003e+01,-0.00236,0.00268
-1.7995e+01,-0.00228,-0.00716
-1.7988e+01,-0.00244,0.00188
-1.7980e+01,-0.00236,-0.00628
-1.7972e+01,-0.00204,0.00268
-1.7965e+01,-0.00268,-0.00836
-1.7957e+01,-0.00196,0.00268
-1.7949e+01,-0.00244,-0.00828
-1.7942e+01,-0.00292,0.00132
-1.7934e+01,-0.00268,-0.00564
-1.7926e+01,-0.00292,0.0026
-1.7919e+01,-0.00268,-0.00756
-1.7911e+01,-0.00308,0.00116
-1.7903e+01,-0.00308,-0.00684
-1.7896e+01,-0.00316,4e-05
-1.7888e+01,-0.00308,-0.0058
-1.7880e+01,-0.00308,0.00084
-1.7873e+01,-0.00228,-0.00572
-1.7865e+01,-0.0026,0.00268
-1.7857e+01,-0.0022,-0.0086
