Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.00768049,
Filter Frequency,2e+08,
Record Length,3757,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Label,,
TIME,CH1,CH1 Peak Detect
-1.6628e+01,-0.0042,-0.0138
-1.6621e+01,-0.0038,0.009
-1.6613e+01,-0.0038,-0.0162
-1.6605e+01,-0.0038,0.0066
-1.6598e+01,-0.0034,-0.015
-1.6590e+01,-0.003,0.0034
-1.6582e+01,-0.0038,-0.0106
-1.6575e+01,-0.0038,0.0046
-1.6567e+01,-0.0046,-0.0114
-1.6559e+01,-0.0038,0.0058
-1.6551e+01,-0.0038,-0.013
-1.6544e+01,-0.0058,0.003
-1.6536e+01,-0.0026,-0.0102
-1.6528e+01,-0.0042,0.003
-1.6521e+01,-0.003,-0.011
-1.6513e+01,-0.0038,0.0082
-1.6505e+01,-0.0042,-0.0154
-1.6498e+01,-0.003,0.0034
-1.6490e+01,-0.0046,-0.013
-1.6482e+01,-0.0046,0.0034
-1.6475e+01,-0.0046,-0.0134
-1.6467e+01,-0.003,0.0042
-1.6459e+01,-0.0038,-0.0126
-1.6452e+01,-0.005,0.0062
-1.6444e+01,-0.005,-0.015
-1.6436e+01,-0.005,0.003
-1.6429e+01,-0.005,-0.013
-1.6421e+01,-0.0046,0.0038
-1.6413e+01,-0.0054,-0.0126
-1.6406e+01,-0.0046,0.0038
-1.6398e+01,-0.005,-0.0126
-1.6390e+01,-0.0038,-0.0002
-1.6382e+01,-0.0034,-0.0078
-1.6375e+01,-0.0038,0.0082
-1.6367e+01,-0.0034,-0.0154
-1.6359e+01,-0.0042,0.0066
-1.6352e+01,-0.0038,-0.0142
-1.6344e+01,-0.0034,0.007
-1.6336e+01,-0.0034,-0.0162
-1.6329e+01,-0.003,0.0014
-1.6321e+01,-0.0046,-0.0098
-1.6313e+01,-0.0042,0.0078
-1.6306e+01,-0.0042,-0.0154
-1.6298e+01,-0.0042,0.0038
-1.6290e+01,-0.0042,-0.0106
-1.6283e+01,-0.0034,0.0042
-1.6275e+01,-0.0042,-0.0134
-1.6267e+01,-0.0038,0.0094
-1.6260e+01,-0.0034,-0.0174
-1.6252e+01,-0.0042,0.0058
-1.6244e+01,-0.003,-0.0138
-1.6237e+01,-0.0034,0.0062
-1.6229e+01,-0.0038,-0.0134
-1.6221e+01,-0.0046,0.0062
-1.6214e+01,-0.005,-0.0138
-1.6206e+01,-0.0038,0.0054
-1.6198e+01,-0.0034,-0.0126
-1.6190e+01,-0.0038,0.0018
-1.6183e+01,-0.0038,-0.0078
-1.6175e+01,-0.0034,0.007
-1.6167e+01,-0.0038,-0.0158
-1.6160e+01,-0.0042,0.0054
-1.6152e+01,-0.0026,-0.013
-1.6144e+01,-0.0034,0.0082
-1.6137e+01,-0.0042,-0.0166
-1.6129e+01,-0.0038,0.0038
-1.6121e+01,-0.0046,-0.0114
-1.6114e+01,-0.003,0.007
-1.6106e+01,-0.0022,-0.0122
-1.6098e+01,-0.0022,0.0058
-1.6091e+01,-0.0026,-0.0122
-1.6083e+01,-0.003,0.0066
-1.6075e+01,-0.0038,-0.0142
-1.6068e+01,-0.0034,0.0062
-1.6060e+01,-0.0022,-0.0126
-1.6052e+01,-0.0042,0.0062
